央视频道,#genre#
CCTV1,http://221.222.79.96:9999/rtp/239.3.1.129:8008$北京市联通
CCTV2,http://221.222.79.96:9999/rtp/239.3.1.60:8084$北京市联通
CCTV3,http://221.222.79.96:9999/rtp/239.3.1.172:8001$北京市联通
CCTV4,http://221.222.79.96:9999/rtp/239.3.1.105:8092$北京市联通
CCTV4欧洲,http://221.222.79.96:9999/rtp/239.3.1.213:4220$北京市联通
CCTV4美洲,http://221.222.79.96:9999/rtp/239.3.1.214:4220$北京市联通
CCTV5,http://221.222.79.96:9999/rtp/239.3.1.173:8001$北京市联通
CCTV5+,http://221.222.79.96:9999/rtp/239.3.1.130:8004$北京市联通
CCTV6,http://221.222.79.96:9999/rtp/239.3.1.174:8001$北京市联通
CCTV7,http://221.222.79.96:9999/rtp/239.3.1.61:8104$北京市联通
CCTV8,http://221.222.79.96:9999/rtp/239.3.1.175:8001$北京市联通
CCTV9,http://221.222.79.96:9999/rtp/239.3.1.62:8112$北京市联通
CCTV10,http://221.222.79.96:9999/rtp/239.3.1.63:8116$北京市联通
CCTV11,http://221.222.79.96:9999/rtp/239.3.1.152:8120$北京市联通
CCTV12,http://221.222.79.96:9999/rtp/239.3.1.64:8124$北京市联通
CCTV13,http://221.222.79.96:9999/rtp/239.3.1.124:8128$北京市联通
CCTV14,http://221.222.79.96:9999/rtp/239.3.1.65:8132$北京市联通
CCTV15,http://221.222.79.96:9999/rtp/239.3.1.153:8136$北京市联通
CCTV16,http://221.222.79.96:9999/rtp/239.3.1.184:8001$北京市联通
CCTV17,http://221.222.79.96:9999/rtp/239.3.1.151:8144$北京市联通

卫视频道,#genre#
湖南卫视,http://221.222.79.96:9999/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://221.222.79.96:9999/rtp/239.3.1.112:3002$北京市联通
浙江卫视,http://221.222.79.96:9999/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://221.222.79.96:9999/rtp/239.3.1.114:3004$北京市联通
江苏卫视,http://221.222.79.96:9999/rtp/239.3.1.135:8028$北京市联通
东方卫视,http://221.222.79.96:9999/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://221.222.79.96:9999/rtp/239.3.1.119:3006$北京市联通
深圳卫视,http://221.222.79.96:9999/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://221.222.79.96:9999/rtp/239.3.1.202:2000$北京市联通
北京卫视,http://221.222.79.96:9999/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://221.222.79.96:9999/rtp/239.3.1.140:8001$北京市联通
北京卫视,http://221.222.79.96:9999/rtp/239.3.1.139:8001$北京市联通
广东卫视,http://221.222.79.96:9999/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://221.222.79.96:9999/rtp/239.3.1.203:2000$北京市联通
东南卫视,http://221.222.79.96:9999/rtp/239.3.1.156:8148$北京市联通
河北卫视,http://221.222.79.96:9999/rtp/239.3.1.148:8072$北京市联通
河南卫视,http://221.222.79.96:9999/rtp/239.3.1.50:8184$北京市联通
湖北卫视,http://221.222.79.96:9999/rtp/239.3.1.138:8044$北京市联通
江西卫视,http://221.222.79.96:9999/rtp/239.3.1.123:8164$北京市联通
四川卫视,http://221.222.79.96:9999/rtp/239.3.1.131:3001$北京市联通
重庆卫视,http://221.222.79.96:9999/rtp/239.3.1.122:8160$北京市联通
贵州卫视,http://221.222.79.96:9999/rtp/239.3.1.149:8076$北京市联通
天津卫视,http://221.222.79.96:9999/rtp/239.3.1.141:1234$北京市联通
安徽卫视,http://221.222.79.96:9999/rtp/239.3.1.211:8064$北京市联通
山东卫视,http://221.222.79.96:9999/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://221.222.79.96:9999/rtp/239.3.1.144:3005$北京市联通
辽宁卫视,http://221.222.79.96:9999/rtp/239.3.1.210:8056$北京市联通
黑龙江卫视,http://221.222.79.96:9999/rtp/239.3.1.133:8016$北京市联通
吉林卫视,http://221.222.79.96:9999/rtp/239.3.1.240:8172$北京市联通
西藏卫视,http://221.222.79.96:9999/rtp/239.3.1.166:8188$北京市联通
山东教育卫视,http://221.222.79.96:9999/rtp/239.3.1.52:4120$北京市联通
中国教育1台,http://221.222.79.96:9999/rtp/239.3.1.57:8152$北京市联通
中国教育2台,http://221.222.79.96:9999/rtp/239.3.1.54:4120$北京市联通
中国教育4台,http://221.222.79.96:9999/rtp/239.3.1.56:4120$北京市联通

数字频道,#genre#
淘电影,http://221.222.79.96:9999/rtp/239.3.1.250:8001$北京市联通
淘剧场,http://221.222.79.96:9999/rtp/239.3.1.95:8001$北京市联通
淘娱乐,http://221.222.79.96:9999/rtp/239.3.1.100:8001$北京市联通
金鹰纪实,http://221.222.79.96:9999/rtp/239.3.1.58:8156$北京市联通
纪实科教,http://221.222.79.96:9999/rtp/239.3.1.115:8000$北京市联通
睛彩青少,http://221.222.79.96:9999/rtp/239.3.1.127:8001$北京市联通
睛彩竞技,http://221.222.79.96:9999/rtp/239.3.1.125:8001$北京市联通
睛彩篮球,http://221.222.79.96:9999/rtp/239.3.1.126:8001$北京市联通
睛彩广场舞,http://221.222.79.96:9999/rtp/239.3.1.128:8001$北京市联通
快乐垂钓,http://221.222.79.96:9999/rtp/239.3.1.164:8001$北京市联通
茶频道,http://221.222.79.96:9999/rtp/239.3.1.165:8001$北京市联通
卡酷少儿,http://221.222.79.96:9999/rtp/239.3.1.189:8000$北京市联通
金鹰卡通,http://221.222.79.96:9999/rtp/239.3.1.51:9252$北京市联通
嘉佳卡通,http://221.222.79.96:9999/rtp/239.3.1.147:9268$北京市联通
中国交通,http://221.222.79.96:9999/rtp/239.3.1.188:8001$北京市联通










💓山东移动专用,#genre#
CCTV1 5M1080,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000311/index.m3u8
